time,power
0,67.748405
0.024,67.748405
0.048,67.748405
0.072,67.748405
0.096,67.748405
0.120000005,67.748405
0.144,67.748405
0.168,67.748405
0.192,67.748405
0.216,67.748405
0.24000001,67.748405
0.264,67.748405
0.288,67.748405
0.312,67.748405
0.336,67.748405
0.36,67.748405
0.384,67.748405
0.408,67.748405
0.432,67.748405
0.456,67.748405
0.48000002,67.748405
0.504,67.748405
0.528,67.748405
0.552,67.748405
0.576,67.748405
0.6,67.748405
0.624,67.748405
0.648,67.748405
0.672,67.748405
0.696,67.748405
0.72,67.748405
0.744,67.748405
0.768,67.748405
0.792,67.748405
0.816,67.748405
0.84000003,67.748405
0.864,67.748405
0.888,67.748405
0.912,67.748405
0.936,67.748405
0.96000004,67.748405
0.984,67.748405
1.008,67.748405
1.0320001,67.748405
1.056,67.748405
1.08,67.748405
1.104,67.748405
1.128,67.748405
1.152,67.748405
1.176,67.748405
1.2,67.748405
1.224,67.748405
1.248,67.748405
1.272,67.748405
1.296,67.748405
1.32,67.748405
1.344,67.748405
1.368,67.748405
1.392,67.748405
1.416,67.748405
1.44,67.748405
1.464,67.748405
1.488,67.748405
1.512,67.748405
1.536,67.748405
1.5600001,67.748405
1.584,67.748405
1.608,67.748405
1.632,67.748405
1.656,67.748405
1.6800001,67.748405
1.704,67.748405
1.728,67.748405
1.752,67.748405
1.776,67.748405
1.8000001,67.748405
1.824,67.748405
1.848,67.748405
1.872,67.748405
1.896,67.748405
1.9200001,67.748405
1.944,67.748405
1.968,67.748405
1.992,67.748405
2.016,67.748405
2.04,67.748405
2.0640001,67.748405
2.088,67.748405
2.112,67.748405
2.136,67.748405
2.16,67.748405
2.184,67.748405
2.208,67.748405
2.232,67.748405
2.256,67.748405
2.28,67.748405
2.304,67.748405
2.328,67.748405
2.352,67.748405
2.376,67.748405
2.4,67.748405
2.424,67.748405
2.448,67.748405
2.4720001,67.748405
2.496,67.748405
2.52,67.748405
2.544,67.748405
2.568,67.748405
2.592,67.748405
2.616,67.748405
2.64,67.748405
2.664,67.748405
2.688,67.748405
2.7120001,67.748405
2.736,67.748405
2.76,67.748405
2.784,67.748405
2.808,67.748405
2.832,67.748405
2.856,67.748405
2.88,67.748405
2.904,67.748405
2.928,67.748405
2.9520001,67.748405
2.976,67.748405
3,67.748405
3.024,67.748405
3.048,67.748405
3.072,67.748405
3.096,67.748405
3.1200001,67.748405
3.144,67.748405
3.168,67.748405
3.192,67.748405
3.216,67.748405
3.24,67.748405
3.264,67.748405
3.288,67.748405
3.312,67.748405
3.336,67.748405
3.3600001,67.748405
3.384,67.748405
3.408,67.748405
3.432,67.748405
3.456,67.748405
3.48,67.748405
3.504,67.748405
3.528,67.748405
3.552,67.748405
3.576,67.748405
3.6000001,67.748405
3.624,67.748405
3.648,67.748405
3.672,67.748405
3.696,67.748405
3.72,67.748405
3.744,67.748405
3.7680001,67.748405
3.792,67.748405
3.816,67.748405
3.8400002,67.748405
3.864,67.748405
3.888,67.748405
3.912,67.748405
3.936,67.748405
3.96,67.748405
3.984,67.748405
4.008,67.748405
4.032,67.748405
4.056,67.748405
4.08,67.748405
4.104,67.748405
4.1280003,67.748405
4.152,67.748405
4.176,67.748405
4.2,67.748405
4.224,67.748405
4.248,67.748405
4.272,67.748405
4.296,67.748405
4.32,67.748405
4.344,67.748405
4.368,67.748405
4.392,67.748405
4.416,67.748405
4.44,67.748405
4.464,67.748405
4.488,67.748405
4.512,67.748405
4.5360003,67.748405
4.56,67.748405
4.584,67.748405
4.608,67.748405
4.632,67.748405
4.656,67.748405
4.68,67.748405
4.704,67.748405
4.728,67.748405
4.752,67.748405
4.776,67.748405
4.8,67.748405
4.824,67.748405
4.848,67.748405
4.872,67.748405
4.896,67.748405
4.92,67.748405
4.9440002,67.748405
4.968,67.748405
4.992,67.748405
5.0160003,67.748405
5.04,68.46841
5.064,69.18841
5.088,69.90841
5.112,70.62841
5.136,71.34841
5.16,71.34841
5.184,71.34841
5.208,71.34841
5.232,71.34841
5.256,71.34841
5.28,71.34841
5.304,71.34841
5.328,71.34841
5.352,72.06841
5.376,72.788414
5.4,73.508415
5.4240003,74.22842
5.448,74.94842
5.472,75.66842
5.496,76.38842
5.52,77.10842
5.544,77.82842
5.568,78.54842
5.592,79.268425
5.616,79.98843
5.64,80.70843
5.664,81.42843
5.688,82.14843
5.712,83.58843
5.736,85.028435
5.76,86.46844
5.784,87.18844
5.808,87.90844
5.8320003,88.62844
5.856,89.34844
5.88,111.931244
5.9040003,112.651245
5.928,113.37125
5.952,114.09125
5.976,114.81125
6,115.53125
6.024,116.25125
6.048,116.97125
6.072,117.69125
6.096,118.411255
6.12,119.131256
6.144,119.85126
6.168,120.57126
6.192,121.29126
6.216,122.01126
6.2400002,122.73126
6.264,123.45126
6.288,124.171265
6.3120003,124.891266
6.336,125.61127
