time,power
0,0
0.024,0
0.048,0
0.072,0
0.096,0
0.120000005,0
0.144,0
0.168,0
0.192,0
0.216,0
0.24000001,0
0.264,0
0.288,0
0.312,0
0.336,0
0.36,0
0.384,0
0.408,0
0.432,0
0.456,0
0.48000002,0
0.504,0
0.528,0
0.552,0
0.576,0
0.6,0
0.624,0
0.648,0
0.672,0
0.696,0
0.72,0
0.744,0
0.768,0
0.792,0
0.816,0
0.84000003,0
0.864,0
0.888,0
0.912,0
0.936,0
0.96000004,0
0.984,0
1.008,0
1.0320001,0
1.056,0
1.08,0
1.104,0
1.128,0
1.152,0
1.176,0
1.2,0
1.224,0
1.248,0
1.272,0
1.296,0
1.32,0
1.344,0
1.368,0
1.392,0
1.416,0
1.44,0
1.464,0
1.488,0
1.512,0
1.536,0
1.5600001,0
1.584,0
1.608,0
1.632,0
1.656,0
1.6800001,0
1.704,0
1.728,0
1.752,0
1.776,0
1.8000001,0
1.824,0
1.848,0
1.872,0
1.896,0
1.9200001,0
1.944,0
1.968,0
1.992,0
2.016,0
2.04,0
2.0640001,0
2.088,0
2.112,0
2.136,0
2.16,0
2.184,0
2.208,0
2.232,0
2.256,0
2.28,0
2.304,0
2.328,0
2.352,0
2.376,0
2.4,0
2.424,0
2.448,0
2.4720001,0
2.496,0
2.52,0
2.544,0
2.568,0
2.592,0
2.616,0
2.64,0
2.664,0
2.688,0
2.7120001,0
2.736,0
2.76,0
2.784,0
2.808,0
2.832,0
2.856,0
2.88,0
2.904,0
2.928,0
2.9520001,0
2.976,0
3,0
3.024,0
3.048,0
3.072,0
3.096,0
3.1200001,0
3.144,0
3.168,0
3.192,0
3.216,0
3.24,0
3.264,0
3.288,0
3.312,0
3.336,0
3.3600001,0
3.384,0
3.408,0
3.432,0
3.456,0
3.48,0
3.504,0
3.528,0
3.552,0
3.576,0
3.6000001,0
3.624,0
3.648,0
3.672,0
3.696,0
3.72,0
3.744,0
3.7680001,0
3.792,0
3.816,0
3.8400002,0
3.864,0
3.888,0
3.912,0
3.936,0
3.96,0
3.984,0
4.008,0
4.032,0
4.056,0
4.08,0
4.104,0
4.1280003,0
4.152,0
4.176,0
4.2,0
4.224,0
4.248,0
4.272,0
4.296,0
4.32,0
4.344,0
4.368,0
4.392,0
4.416,0
4.44,0
4.464,0
4.488,0
4.512,0
4.5360003,0
4.56,0
4.584,0
4.608,0
4.632,0
4.656,0
4.68,0
4.704,0
4.728,0
4.752,0
4.776,0
4.8,0
4.824,0
4.848,0
4.872,0
4.896,0
4.92,0
4.9440002,0
4.968,0
4.992,0
5.0160003,0
5.04,0
5.064,0
5.088,0
5.112,30
5.136,30
5.16,30
5.184,30
5.208,30
5.232,30
5.256,0
5.28,0
5.304,0
5.328,0
5.352,0
5.376,0
5.4,0
5.4240003,0
5.448,0
5.472,0
5.496,0
5.52,0
5.544,0
5.568,0
5.592,0
5.616,30
5.64,0
5.664,0
5.688,60
5.712,30
5.736,30
5.76,30
5.784,30
5.808,30
5.8320003,30
5.856,30
5.88,60
5.9040003,90
5.928,60
5.952,60
5.976,60
6,90
6.024,90
6.048,60
6.072,60
6.096,60
6.12,60
6.144,60
6.168,60
6.192,60
6.216,60
6.2400002,60
6.264,60
6.288,60
6.3120003,60
6.336,60
6.36,90
6.384,90
6.408,90
6.432,60
6.456,60
6.48,60
6.504,60
6.528,60
6.552,60
6.576,60
6.6,60
6.624,60
6.6480002,60
6.672,60
6.696,60
6.7200003,60
6.744,60
6.768,60
6.7920003,60
6.816,60
6.84,60
6.864,60
6.888,60
6.912,90
6.936,90
6.96,970.95
6.984,970.95
7.008,60
7.032,60
7.056,90
7.08,90
7.104,60
7.1280003,90
7.152,90
7.176,60
7.2000003,60
7.224,60
7.248,90
7.272,90
7.296,90
7.32,90
7.344,90
7.368,90
7.392,90
7.416,90
7.44,90
7.464,90
7.488,90
7.512,90
7.5360003,90
7.56,90
7.584,90
7.6080003,90
7.632,90
7.656,90
7.6800003,90
7.704,90
7.728,90
7.752,90
7.776,120
7.8,150
7.824,120
7.848,90
7.872,60
7.896,90
7.92,120
7.9440002,120
7.968,120
7.992,120
8.016,120
8.04,120
8.064,120
8.088,120
8.112,120
8.136,120
8.16,120
8.184,120
8.208,120
8.232,1030.95
8.2560005,1030.95
8.28,150
8.304,120
8.328,120
8.352,120
8.376,120
8.4,120
8.424,90
8.448,90
8.472,90
8.496,90
8.52,90
8.544,90
8.568,90
8.592,90
8.616,90
8.64,90
8.6640005,60
8.688,30
8.712,30
8.736,30
8.76,30
8.784,30
8.808,60
8.832,30
8.856,60
8.88,60
8.904,60
8.928,60
8.952,60
8.976,30
9,60
9.024,60
9.048,970.95
9.0720005,970.95
9.096,60
9.12,60
9.144,60
9.168,90
9.192,90
9.216,90
9.24,1000.95
9.264,1000.95
9.288,1000.95
9.312,1030.95
9.336,1030.95
9.36,1030.95
9.384,1030.95
9.408,150
9.432,150
9.456,150
9.4800005,120
9.504,120
9.528,120
9.552,120
9.576,120
9.6,120
9.624001,120
9.648,120
9.672,120
9.696,120
9.72,120
9.744,120
9.768,90
9.792,90
9.816,1000.95
9.84,90
9.864,90
9.8880005,60
9.912,60
9.936,60
9.96,30
9.984,30
10.008,60
10.032001,60
10.056,60
10.08,90
10.104,90
10.128,90
10.152,90
10.176,90
10.2,90
10.224,90
10.248,90
10.272,90
10.2960005,90
10.32,90
10.344,120
10.368,120
10.392,120
10.416,90
10.440001,90
10.464,90
10.488,90
10.512,90
10.536,90
10.56,90
10.584,90
10.608,60
10.632,60
10.656,60
10.68,60
10.704,60
10.728,60
10.752,30
10.776,30
10.8,30
10.824,30
10.848001,30
10.872,30
10.896,30
10.92,30
10.944,30
10.968,30
10.992,30
11.016,30
11.04,30
11.064,30
11.088,30
11.112,30
11.136,30
11.16,30
11.184,30
11.208,30
11.232,30
11.2560005,30
11.28,30
11.304,30
11.328,30
11.352,30
11.376,60
11.400001,30
11.424,30
11.448,60
11.472,60
11.496,60
11.52,60
11.544,60
11.568,60
11.592,60
11.616,30
11.64,60
11.6640005,60
11.688,60
11.712,60
11.736,30
11.76,940.95
11.784,30
11.808001,30
11.832,30
11.856,30
11.88,940.95
11.904,970.95
11.928,60
11.952,60
11.976,60
12,60
12.024,60
12.048,60
12.0720005,60
12.096,60
12.12,60
12.144,60
12.168,60
12.192,60
12.216001,60
12.24,60
12.264,60
12.288,60
12.312,60
12.336,30
12.36,30
12.384,30
12.408,30
12.432,60
12.456,60
12.4800005,60
12.504,30
12.528,30
12.552,30
12.576,30
12.6,30
12.624001,30
12.648,30
12.672,30
12.696,940.95
12.72,940.95
12.744,970.95
12.768,970.95
12.792,970.95
12.816,970.95
12.84,60
12.864,30
12.8880005,30
12.912,30
12.936,30
12.96,30
12.984,30
13.008,30
13.032001,30
13.056,30
13.08,60
13.104,60
13.128,60
13.152,30
13.176,30
13.2,30
13.224,30
13.248,30
13.272,30
13.2960005,60
13.32,30
13.344,30
13.368,30
13.392,30
13.416,30
13.440001,30
13.464,30
13.488,30
13.512,30
13.536,30
13.56,30
13.584001,30
13.608,30
13.632,30
13.656,30
13.68,30
13.704,30
13.728,30
13.752,30
13.776,30
13.8,30
13.824,30
13.848001,30
13.872,30
13.896,30
13.92,30
13.944,30
13.968,30
13.992001,30
14.016,30
14.04,30
14.064,30
14.088,30
14.112,30
14.136,30
14.16,30
14.184,30
14.208,30
14.232,60
14.2560005,60
14.28,60
14.304,60
14.328,60
14.352,60
14.376,60
14.400001,60
14.424,60
14.448,60
14.472,60
14.496,60
14.52,60
14.544,60
14.568,60
14.592,60
14.616,60
14.64,60
14.6640005,60
14.688,60
14.712,60
14.736,60
14.76,60
14.784,90
14.808001,90
14.832,90
14.856,60
14.88,60
14.904,60
14.928,60
14.952,60
14.976,60
15,60
15.024,60
15.048,970.95
15.0720005,970.95
15.096,970.95
15.12,970.95
15.144,970.95
15.168,970.95
15.192,970.95
15.216001,970.95
15.24,970.95
15.264,970.95
15.288,970.95
15.312,970.95
